ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta
3502728826,3121406516,27259387262370,27259387262370,1.390442,0.000404
2116979028,2436846205,95890146326180,95890146326180,1.392214,0.001772
1301399895,1247583550,143597118684626,143597118684626,1.396752,0.004538
4192514166,343761694,75548409946562,75548409946562,1.403745,0.006993
3481712690,2212991794,6292301067264,6292301067264,1.404715,0.00097
3119663743,3884821804,170410936426799,170410936426799,1.405859,0.001144
3298501984,1617742674,113829960527349,113829960527349,1.40866,0.002801
3689313604,968295191,116755655872728,116755655872728,1.408969,0.000309
1673292646,1104910092,149431778097348,149431778097348,1.411698,0.002729
720826900,817569875,117785106720507,117785106720507,1.412575,0.000877
195739774,383685165,65932519611825,65932519611825,1.416732,0.004157
3560092024,3044327740,90951659181544,90951659181544,1.418262,0.00153
4023577182,2212706566,98875623970837,98875623970837,1.418465,0.000203
429485370,2384354060,144536824005122,144536824005122,1.419666,0.001201
3647577143,1164970533,124508303017085,124508303017085,1.419782,0.000116
184050016,3409087491,242303283524761,242303283524761,1.423616,0.003834
2692484938,4161612657,245692483671216,245692483671216,1.426695,0.003079
1702330694,655526506,86487441007424,86487441007424,1.434974,0.008279
663779122,612167732,29156625934782,29156625934782,1.435508,0.000534
3907554339,3068669498,23554128126202,23554128126202,1.437029,0.001521
515857744,2583738697,58863449754597,58863449754597,1.437613,0.000584
2531374670,1365232220,45970413464404,45970413464404,1.438455,0.000842
1588146978,3703841366,269223938132505,269223938132505,1.456896,0.018441
4290924335,53543009,252276213058845,252276213058845,1.457529,0.000633
3265109289,3898515041,90700701112862,90700701112862,1.460243,0.002714
1830193190,3343179315,115017782514573,115017782514573,1.467417,0.007174
2650279028,1639691631,108818990160687,108818990160687,1.477755,0.010338
1950066182,1724235566,179388469845251,179388469845251,1.479386,0.001631
889498953,1165185815,237893061739685,237893061739685,1.487584,0.008198
1770046048,2486262118,270721661157851,270721661157851,1.495184,0.0076
3573457764,1581152301,257297836564873,257297836564873,1.506513,0.011329
3543550319,3047589925,141436953262239,141436953262239,1.507076,0.000563
3488472658,2066616338,19440317083339,19440317083339,1.510048,0.002972
1424179046,3862724950,20061212475510,20061212475510,1.513322,0.003274
2779949689,518984226,83257021613187,83257021613187,1.524962,0.01164
2579691646,2087424845,190755410464611,190755410464611,1.525988,0.001026
1071651939,4292327225,189066462310821,189066462310821,1.529572,0.003584
574676257,2954236950,12525888095739,12525888095739,1.530109,0.000537
2508705891,601112645,151806831647037,151806831647037,1.537672,0.007563
1430564884,1068333401,281253189702495,281253189702495,1.538631,0.000959
2097112888,101421183,251559227011077,251559227011077,1.540943,0.002312
3474856224,1411006990,210635684716030,210635684716030,1.549681,0.008738
2625191478,2580501267,75366534098543,75366534098543,1.550213,0.000532
2444944452,3702388840,106302859663636,106302859663636,1.552287,0.002074
1023302657,1434626841,146662705706404,146662705706404,1.553915,0.001628
